category,title,brdBltNo,url,question,answer,related_basis
급여기준,치료재료구입목록표 제출 후 변경사항 발생 시 변경 방법,47675,https://www.hira.or.kr/bbsDummy.do?pgmid=HIRAA010006011100&brdScnBltNo=4&brdBltNo=47675,요양기관입니다. 치료재료구입목록표를 작성하여 제출하였습니다. 구입일자를 잘못 기재하여 변경할려면 어떻게 하면 되나요?,"- 치료재료구입목록표 제출 후 변경 가능한 항목은 1) 재료대코드 2) 구입일자 3) 구입수량 4) 구입가격입니다. 별첨)치료재료 변경 서식 작성하여 구입증빙자료(세금계산서 또는 거래명세서)와 함께 심사평가원 담당본부로 팩스 또는 우편을 보내주시면 변경 처리되며, 구입처 변경은 별첨)치료재료 변경 서식의 삭제 요청 후 재신고 바랍니다. 단, 신고한 치료재료로 청구하여 이미 지급받은 진료분이 있다면 환수를 하고, 심사 중인 진료분은 지급불능 신청을 하셔야 합니다. ※ 환수 및 지급불능은 요양기관 업무포털에서 신청 가능 - 담당자 수정 후 확인은 치료재료신고내역조회에서 조회를 클릭 하신 후 접수일자 클릭 하시면 변경 된 내용 확인 가능합니다. 별첨)치료재료 변경 서식 [관련 근거] - 국민건강보험법 시행규칙 제19조(요양급여비용의 청구) 제3항 - 보건복지부 고시 「요양급여비용 청구방법, 심사청구서·명세서서식 및 작성요령」",
급여기준,중증질환자 산정특례 연계 적용 여부,47674,https://www.hira.or.kr/bbsDummy.do?pgmid=HIRAA010006011100&brdScnBltNo=4&brdBltNo=47674,뇌혈관질환으로 중증질환자 산정특례 대상이 되어 처음 진료 받은 병원에서는 산정 특례 적용이 되었으나 개인적인 사정으로 집근처로 이동하여 두 번째 진료 받은 병원에서는 산정특례 적용을 받지 못했습니다. 30일 이내에 진료를 받았는데 왜 적용 받지 못한 건가요?,"- 행정해석 “암 등 중증질환 산정특례 관련 산정방법 안내” (보험 급여과-3680호, 2005.8.26.)에 의하면 뇌혈관 및 심장질환자가 고시에서 정한 수술을 하고 합병증 등으로 치료가 불가하여 타 요양기관으로 이송한 경우 1) 수술을 시행한 요양기관에서 치료가 불가하여 타 요양기관으로 이송한 경우에도 산정특례 대상이고, 적용기간은 연계하여 적용 토록 하고 있으며, (이송된 요양기관에서는 최대 30일 중 당초 수술 시행기관에서 적용한 일수를 제외하여 잔여기간만 적용) 2) 환자의 원에 의하여 이송한 경우는 입원의 경우 20%를 적용토록 하고 있습니다. - 따라서 환자의 원에 의하여 타 요양기관으로 이송한 경우는 중증질환자 산정특례 연계적용이 불가능합니다. [관련 근거] 보험급여과-3680호(2005.8.26.) “암 등 중증질환 산정특례 관련 산정방법 안내”",
급여기준,통증자가조절법(PCA)의 급여기준 및 산정방법,47673,https://www.hira.or.kr/bbsDummy.do?pgmid=HIRAA010006011100&brdScnBltNo=4&brdBltNo=47673,PCA 급여에 따른 청구방법이 궁금합니다 .,"휴대용 ( 일회용 ) 지속 주입재료를 사용하여 환자 스스로 약물주입을 조절할 수 있도록 하는 통증자가조절법 (Patient Controlled Analgesia) 은 다음과 같이 요양급여를 인정함 . - 다 음 - 가 . 급여대상 1) 암환자 ( 암성통증 , 암관련 수술 후 통증 ) 2) 개심술 , 개두술 , 장기이식 , 제왕절개 수술 후 통증 3) 근위축성축삭경화증 (Amyotrophic Lateral Sclerosis, ALS) 환자의 만성통증 , 만성난치통증 (Chronic intractable pain) 4) 「 본인일부부담금 산정특례에 관한 기준 」 제 4 조 중증질환자 산정특례 대상 중 중증외상환자의 수술 후 통증 나 . 산정방법 1) 행위료 구분 경막외 주입 (Epidural PCA) 정맥내 주입 (IV PCA) 시술당일 주입로 확보 및 Infuser 장착을 모두 실시한 경우 바22나(3)(가)경막외신경차단술(지속적차단-기타-카테터삽입당일) 소정점수 (코드 LA201) 바22나(3)(가)경막외신경차단술(지속적차단-기타-카테터삽입당일) 소정점수의 50% (코드 LA204) 확보된 주입로에 Infuser만 연결하는 경우 마5-1수액제주입로를통한주사의 소정점수와 바22나(3)(나)경막외신경차단술(지속적차단-기타-익일이후)의 소정점수를 합한 점수 (코드 LA202) 마5-1수액제주입로를통한주사의 소정점수와 바22나(3)(나)경막외신경차단술(지속적차단-기타-익일이후)의 소정점수의 50%를 합한 점수 (코드 LA205) 익일 이후 바22나(3)(나)경막외신경차단술(지속적차단-기타-익일이후) 소정점수 (코드 LA203) 바22나(3)(나)경막외신경차단술(지속적차단-기타-익일이후) 소정점수의 50% (코드 LA206) 약제 재충전 행위료, 환자교육료 등은 별도 산정하지 아니함. 2) 약제 「 약제 및 치료재료의 비용에 대한 결정기준 」 에 따라 사용된 약제 비용은 별도 산정하며 , 동 시술 시 사용되는 약제의 본인부담률은 「 국민건강보험법 시행령 」 제 19 조 및 해당 약제별 「 요양급여의 적용기준 및 방법에 관한 세부사항 」 에 따른 본인부담률을 적용함 . 3) 치료재료 「 약제 및 치료재료의 비용에 대한 결정기준 」 에 따라 사용된 치료재료 비용은 별도 산정함 . 다만 , 「 요양급여의 적용기준 및 방법에 관한 세부사항 」 에서 별도로 고시한 경우 해당 급여 기준에 따름 . 다 . 위 가 . 에 의한 급여대상 이외의 환자에게 시행 시 다른 방법 (PCA 이외 ) 의 통증관리방법을 충분히 설명하고 환자가 서면으로 신청한 경우 에 한하여 행위료 및 치료재료비용은 「 선별급여 지정 및 실시 등에 관한 기준 」 에 따라 본인부담률을 80% 로 적용함 . [관련 근거] 고시 제 2023-56 호 (2023.3.29. 시행 )“ 통증자가조절법의 급여여부 ”",
급여기준,인플루엔자 환자의 격리실 입원료,47667,https://www.hira.or.kr/bbsDummy.do?pgmid=HIRAA010006011100&brdScnBltNo=4&brdBltNo=47667,인플루엔자 환자도 격리실 입원료 건강보험 혜택이 가능한가요 ?,"- 격리실 입원료는 일반 환자를 보호하기 위하여 전염력이 강한 전염성 환자를 일반 환자와 격리하여 치료할 필요가 있고 , 진료상 입원이 반드시 필요한 경우에 한하여 인정합니다 . - 「 격리실 입원료 급여기준 ( 일반원칙 ) 」 ( 고시 제 2024-297 호 , ‘25.1.1. 시행 ) 에 따 르면 , 「 감염병의 예방 및 관리에 관한 법률 」 의 제 4 급 감염병에 해당하는 인플루엔자의 격리기간은 ‘ 객관적인 소견이 있는 시점부터 감염력이 소실될 때까지 ’ 라고 명시하고 있습니다 . 또한 , 세부적인 기준인 「 격리입원실 질환유형별 격리기간 」 ( 공고 제 2023-295 호 , ’24.1.1. 시행 ) 에 따르면 , ‘ 증상발현 후 5 일 ’ 간의 격리실 입원료를 인정하고 , 명시된 격리기간을 초과하여 격리실 입원이 필요한 경우는 검사 결과 및 의사소견서 등을 참고하여 추가로 인정될 수 있음을 명시하고 있습니다 . - 참고로 , 행정해석 「 상급종합병원의 1 인실 ( 특실 포함 ) 을 보험급여 적용제외한다는 의미가 1 인실 입원료 전액을 환자에게 부담시킬 수 있다는 것인지 ? 」 에 따르면 격리병실 입원대상자가 격리병실이 없어 1 인실에 불가피하게 입원하는 경우에는 격리실 입원료 수가에 따른 ‘ 일반격리실 (1 인용 ) 입원료 ’ 를 청구할 수 있습니다 . 이 경우 상급병실료 차액은 부과할 수 없습니다 . [관련 근거] - 「 격리실 입원료 급여기준 ( 일반원칙 ) 」 ( 고시 제 2024-297 호 , ‘25.1.1. 시행 )) - 「 격리입원실 질환유형별 격리기간 」 ( 공고 제 2023-295 호 , ’24.1.1. 시행 ) - 「 상급종합병원의 1 인실 ( 특실 포함 ) 을 보험급여 적용제외한다는 의미가 1 인실 입원료 전액을 환자에게 부담시킬 수 있다는 것인지 ? 」 (행정해석 -3093 호 , ‘14.9.1. 시행 )",
급여기준,건강검진 당일 진찰료 산정,47666,https://www.hira.or.kr/bbsDummy.do?pgmid=HIRAA010006011100&brdScnBltNo=4&brdBltNo=47666,건강검진 당일 감기 등을 이유로 추가 진료를 받는 환자의 진찰료는 어떻게 청구해야 하나요?,"- 「국민건강보험법」 제52조에 의거 가입자 및 피부양자에게 실시하는 건강검진 당일에 동일 요양기관에서 건강검진과는 별도로 특정 질환에 대한 진찰을 하여 진찰 이외에 의사의 처방*이 발생한 경우, 해당 진찰료는 초진(또는 재진)진찰료의 50%를 산정하며, 코드는 다음과 같이 기재합니다. 진찰료 산정 사유에 대하여는 진료기록부에 기록하고, 「요양급여비용 청구방법, 심사청구서·명세서서식 및 작성요령」에 의하여 작성·청구토록 합니다. - 다 음 - （가）일반건강검진 시 질환에 대한 진찰이 이루어진 경우 : 산정코드 세 번째 자리에 3으로 기재 （나）암검진 시 질환에 대한 진찰이 이루어진 경우 : 산정코드 세 번째 자리에 5로 기재 （다）영유아 건강검진 시 질환에 대한 진찰이 이루어진 경우 : 산정코드 세 번째 자리에 2로 기재 * 「건강보험 행위 급여·비급여 목록표 및 급여 상대가치점수」에 의하여 산정 가능한 진료행위 및 약제 처방전 발급 - 상기 항에도 불구하고 2개 이상의 진료과목이 설치되어 있고 해당 과의 전문의가 상근하는 요양기관에서 건강검진 당일 검진 실시 의사와 전문과목 및 전문분야가 다른 진료담당의사가 건강검진과는 별도로 질환에 대하여 진료한 경우에 한하여 초진(또는 재진) 진찰료를 산정할 수 있습니다. - 또한 건강검진을 실시한 요양기관에서 동일 의사에게 검진 결과에 대해 다른 날 설명을 듣는 것은 검진결과 상담에 해당되어 진찰료를 별도로 산정할 수 없으나, 검진결과 이상소견에 대해 단계적 정밀검사 또는 별도의 진료가 이루어진 경우에는 재진진찰료를 산정할 수 있습니다. [관련 근거] 「건강검진 실시 당일 진료 시 진찰료 산정방법」 (고시 제2017-249호, 2018.1.1.시행)",
급여기준,시범사업 필수 인력 기준,47660,https://www.hira.or.kr/bbsDummy.do?pgmid=HIRAA010006011100&brdScnBltNo=4&brdBltNo=47660,급성기 의료기관의 환자지원팀 인력 구성은 반드시 전담이어야 하나요?,"- 아니오. 급성기 의료기관의 환자지원팀은 반드시 전담 인력으로 구성하지 않아도 됩니다. - 다만, 인력산정 기준 및 수가에 영향을 주는 인력구성은 제외하여야 합니다. - 환자지원팀 인력구성 제외대상 예시 ∎ 간호등급 산출대상, 전담 수가 및 타 사업 전담인력 등 인력 구성은 환자지원팀 제외대상 입니다. [관련 근거] 보험급여과-5727호(2024.12.31.)""「급성기 환자 퇴원지역 및 지역사회 연계활동 2단계 시범사업」""지침 일부개정",
급여기준,시범사업 참여 대상 여부,47659,https://www.hira.or.kr/bbsDummy.do?pgmid=HIRAA010006011100&brdScnBltNo=4&brdBltNo=47659,급성기 의료기관에서 퇴원 후 재입원한 경우 시범사업 참여가 가능한가요?,"- 가능합니다. 급성기 의료기관에서 시범사업 참여 후 서비스가 종결된 환자가 일정기간 지난 뒤 재입원 시 재참여가 가능합니다. - 다만, 퇴원 뒤 타 기관 입원 경유 후 수일 내 재입원한 경우 연속된 시범사업 서비스 이용은 불가합니다. - 재입원 및 시범사업 재참여 예시 ∎ (일정기간 지난 뒤 재입원) - 통합평가 및 퇴원계획 수립 등 재시행 후 시범사업 재참여 → (O) ∎ (수일 내 타 기관 입원 경유 후 재입원) - 통합평가 및 퇴원계획 수립 없이 연속된 의료기관 환자관리 시행 → (X) [관련 근거] 보험급여과-5727호(2024.12.31.)""「급성기 환자 퇴원지역 및 지역사회 연계활동 2단계 시범사업」""지침 일부개정",
급여기준,의료기관 간 환자관리 시 재활손상대분류 적용 기준,47658,https://www.hira.or.kr/bbsDummy.do?pgmid=HIRAA010006011100&brdScnBltNo=4&brdBltNo=47658,급성기 의료기관에서 분류된 재활손상대분류군 적용은 연계 의료기관과 동일하여야 하나요?,"- 네, 동일하여야 합니다. 급성기 의료기관의 의료진이 환자에 대해 통합평가 후 재활손상대분류를 결정하고 퇴원계획을 수립하여, 연계 의료기관으로 연계 후 동일한 재활손상대분류군 환자에 대한 통합재활기능평가 시행 등을 통해 급성기 의료기관 환자지원팀과 연계 의료기관의 담당 의료진이 주기적으로 환자 상태 및 치료계획을 공유하여야 합니다. - 의료기관 간 환자관리 (예시) ∎ (동일 재활손상대분류) - 급성기 의료기관: 뇌손상 ↔ 연계 의료기관: 뇌손상 → (O) ∎ (타 재활손상대분류) - 급성기 의료기관: 뇌손상 ↔ 연계 의료기관: 근골격계 → (X) [관련 근거] 보험급여과-5727호(2024.12.31.)""「급성기 환자 퇴원지역 및 지역사회 연계활동 2단계 시범사업」""지침 일부개정",
급여기준,「협력기관 간 진료의뢰·회송 시범사업」수가 환자 본인부담률,47657,https://www.hira.or.kr/bbsDummy.do?pgmid=HIRAA010006011100&brdScnBltNo=4&brdBltNo=47657,통합평가표 I 는 반드시 통합기능평가를 시행하여야 하나요?,"- 통합평가표 I 은 퇴원결정 시점(퇴원 전 7일 이내)에 환자의 신체적 기능 상태 평가항목인 통합기능평가표와 의료적 상태를 종합적으로 평가하는 통합평가표 I 을 모두 작성한 경우에 산정할 수 있습니다. - 다만, 통합평가표 I 은 통합기능평가(필수 4항목 이상) 또는 각각의 기능평가(필수나 선택 항목)를 시행한 후 산정할 수 있습니다. [관련 근거] 보험급여과-5727호(2024.12.31.)""「급성기 환자 퇴원지역 및 지역사회 연계활동 2단계 시범사업」""지침 일부개정",
급여기준,「협력기관 간 진료의뢰·회송 시범사업」'의뢰료' 산정 방법,47656,https://www.hira.or.kr/bbsDummy.do?pgmid=HIRAA010006011100&brdScnBltNo=4&brdBltNo=47656,진료의뢰료 I 의 'IA024'는 심평원 Agent 활용 시 산정 가능한가요?,"- 산정 가능합니다. 진료의뢰료 I 의 주1에 해당하는 'IA024'는 1단계 시범기관에 해당하는 병·의원에서 agent 프로그램(또는 한국보건의료정보원의 진료정보교류시스템)을 통해 협력관계의 2단계 시범기관(종합병원 및 전문병원)으로 전자적 의뢰시 산정 가능합니다. - 단, 상급종합병원으로 의뢰하는 경우는 산정 불가합니다. [관련 근거] 보건복지부 보험급여과-5706호(2024.12.31.)「협력기관 간 진료의뢰·회송 시범사업」지침 일부개정 통보",
